z, E_new(eV), E_conformal(eV), E_logarithmic(eV), Ratio_conf, Ratio_log
1.739726432343802662e+04,4.716072726962368512e+18,2.294874218109432841e+05,4.716072726962368512e+18,4.866070459408639929e-14,1.000000000000000000e+00
1.890397377819223402e+04,4.756188099048893440e+18,2.599346158694222104e+05,4.756188099048893440e+18,5.465187886942527728e-14,1.000000000000000000e+00
2.054117348353064153e+04,4.796303647484398592e+18,2.944215460600325023e+05,4.796303647484398592e+18,6.138509312571419675e-14,1.000000000000000000e+00
2.232016469295234492e+04,4.836419358214660096e+18,3.334842117315938813e+05,4.836419358214660096e+18,6.895270799153734375e-14,1.000000000000000000e+00
2.425322741760355348e+04,4.876535218305404928e+18,3.777297298663239344e+05,4.876535218305404928e+18,7.745862850501158567e-14,1.000000000000000000e+00
2.635370519267398413e+04,4.916651215853092864e+18,4.278457711442345171e+05,4.916651215853092864e+18,8.701975233970273986e-14,1.000000000000000000e+00
2.863609718508115839e+04,4.956767339902777344e+18,4.846112480085252319e+05,4.956767339902777344e+18,9.776760028806000573e-14,1.000000000000000000e+00
3.111615827824363078e+04,4.996883580372540416e+18,5.489084208506841678e+05,4.996883580372540416e+18,1.098501520040938264e-13,1.000000000000000000e+00
3.381100782480688940e+04,5.036999927983909888e+18,6.217366104750240920e+05,5.036999927983909888e+18,1.234339129172626337e-13,1.000000000000000000e+00
3.673924781802073994e+04,5.077116374197850112e+18,7.042277299679527059e+05,5.077116374197850112e+18,1.387062415088359943e-13,1.000000000000000000e+00
3.992109129748053238e+04,5.117232911155837952e+18,7.976638773752410198e+05,5.117232911155837952e+18,1.558779698372320829e-13,1.000000000000000000e+00
4.337850187558993639e+04,5.157349531625634816e+18,9.034972626205569832e+05,5.157349531625634816e+18,1.751863543628713426e-13,1.000000000000000000e+00
4.713534534786916629e+04,5.197466228951379968e+18,1.023372778378407937e+06,5.197466228951379968e+18,1.968983988155473979e-13,1.000000000000000000e+00
5.121755443364241364e+04,5.237582997007656960e+18,1.159153565708110807e+06,5.237582997007656960e+18,2.213145961353471739e-13,1.000000000000000000e+00
5.565330778427651967e+04,5.277699830157232128e+18,1.312949971801383421e+06,5.277699830157232128e+18,2.487731424775380334e-13,1.000000000000000000e+00
6.047322449462654913e+04,5.317816723212138496e+18,1.487152349917831365e+06,5.317816723212138496e+18,2.796546829879352963e-13,1.000000000000000000e+00
6.571057546036269923e+04,5.357933671397879808e+18,1.684468211299743503e+06,5.357933671397879808e+18,3.143876566243992385e-13,1.000000000000000000e+00
